customer_id,customer_name,email,phone,city,state,customer_segment,signup_date,loyalty_points
CUST081,Customer 081,customer081@example.com,9172972420,Bengaluru,Karnataka,Corporate,2024-04-26,3307
CUST082,Customer 082,customer082@example.com,9228727266,Mumbai,Maharashtra,Corporate,2024-05-19,4742
CUST083,Customer 083,customer083@example.com,9738360085,Delhi,Delhi,Regular,2023-06-17,3434
CUST084,Customer 084,customer084@example.com,9805849060,Chennai,Tamil Nadu,Corporate,2025-12-06,2591
CUST085,Customer 085,customer085@example.com,9379995032,Hyderabad,Telangana,Regular,2024-10-05,1955
CUST086,Customer 086,customer086@example.com,9385201412,Kochi,Kerala,Premium,2023-09-26,2457
CUST087,Customer 087,customer087@example.com,9590941149,Pune,Maharashtra,Premium,2023-05-29,76
CUST088,Customer 088,customer088@example.com,9592080329,Kolkata,West Bengal,Corporate,2023-07-24,600
CUST089,Customer 089,customer089@example.com,9677280546,Jaipur,Rajasthan,Regular,2025-11-02,2172
CUST090,Customer 090,customer090@example.com,9242224154,Ahmedabad,Gujarat,Premium,2023-05-21,2001
CUST091,Customer 091,customer091@example.com,9496776692,Bengaluru,Karnataka,Premium,2023-11-20,3589
CUST092,Customer 092,customer092@example.com,9995226828,Mumbai,Maharashtra,Corporate,2024-09-11,4333
CUST093,Customer 093,customer093@example.com,9108399996,Delhi,Delhi,Corporate,2024-09-05,848
CUST094,Customer 094,customer094@example.com,9244193987,Chennai,Tamil Nadu,Premium,2023-08-25,876
CUST095,Customer 095,customer095@example.com,9897163846,Hyderabad,Telangana,Corporate,2023-11-15,2231
CUST096,Customer 096,customer096@example.com,9402533494,Kochi,Kerala,Corporate,2024-03-07,2808
CUST097,Customer 097,customer097@example.com,9318610946,Pune,Maharashtra,Corporate,2024-06-24,4140
CUST098,Customer 098,customer098@example.com,9624557080,Kolkata,West Bengal,Premium,2023-04-15,756
CUST099,Customer 099,customer099@example.com,9781057736,Jaipur,Rajasthan,Premium,2024-07-20,361
CUST100,Customer 100,customer100@example.com,9103807155,Ahmedabad,Gujarat,Premium,2023-09-25,2145
